Issue_key,Summary,keyword
HADOOP-15223,Replace Collections.EMPTY* with empty* when available,"['assign', 'assign']"
HADOOP-16331,Fix ASF License check in pom.xml,"['server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-10318,Incorrect reference to nodeFile in RumenToSLSConverter error message,['node']
HADOOP-5367,"After some jobs have finished, Reducer will run new job's reduce tasks sequentially and not in parallel (mapred.JobTracker: Serious problem.  While updating status, cannot find taskid...)",['parallel']
HADOOP-9896,TestIPC fail on trunk with error VM crash or System.exit,['crash']
HADOOP-11958,MetricsSystemImpl fails to show backtrace when an error occurs,['race']
HADOOP-11611,fix TestHTracedRESTReceiver unit test failures,['race']
HADOOP-12423,Handle failure of registering shutdownhook by ShutdownHookManager in static block,['block']
HADOOP-4773,"namenode startup error, hadoop-user-namenode.pid permission denied.","['node', 'node']"
HADOOP-9085,"start namenode failure,bacause pid of namenode pid file is other process pid or thread id before start namenode","['node', 'node', 'node']"
HADOOP-12795,KMS does not log detailed stack trace for unexpected errors.,['race']
HADOOP-7822,Hadoop startup script has a race condition : this causes failures in datanodes status and stop commands,"['node', 'race']"
HADOOP-5254,Xinclude setup results in a stack trace,['race']
HADOOP-7488,"When Namenode network is unplugged, DFSClient operations waits for ever","['node', 'network']"
HADOOP-12202,releasedocmaker drops missing component and assignee entries,"['assign', 'assign']"
HADOOP-9126,FormatZK and ZKFC startup can fail due to zkclient connection establishment delay,"['delay', 'connection']"
HADOOP-12617,SPNEGO authentication request to non-default realm gets default realm name inserted in target server principal,['server']
HADOOP-5983,Namenode shouldn't read mapred-site.xml,['node']
HADOOP-12590,TestCompressorDecompressor failing without stack traces,['race']
HADOOP-12317,Applications fail on NM restart on some linux distro because NM container recovery declares AM container as LOST,"['recovery', 'restart']"
HADOOP-10718,"""IOException: An existing connection was forcibly closed by the remote host"" frequently happens on Windows","['remote', 'connection']"
HADOOP-10941,Proxy user verification NPEs if remote host is unresolvable,['remote']
HADOOP-8564,Port and extend Hadoop native libraries for Windows to address datanode concurrent reading and writing issue,['node']
HADOOP-12364,Deleting pid file after stop is causing the daemons to keep restarting ,['restart']
HADOOP-6460,Namenode runs of out of memory due to memory leak in ipc Server,['node']
HADOOP-12449,TestDNS and TestNetUtils failing if no network,['network']
HADOOP-5311,Write pipeline recovery fails,['recovery']
HADOOP-12061,Incorrect command in single cluster setup document,['cluster']
HADOOP-5057, Chukwa agent crash on startup with missing check point file,['crash']
HADOOP-5903,"DFSClient ""Could not obtain block:...""",['block']
HADOOP-2159,Namenode stuck in safemode,['node']
HADOOP-11685,"StorageException complaining "" no lease ID"" during HBase distributed log splitting",['distributed']
HADOOP-9265,S3 blockstore filesystem breaks part of the Filesystem contract,['block']
HADOOP-11019,Queued IPC calls are not aborted if the connection drops,['connection']
HADOOP-12452,Fix tracing documention reflecting the update to htrace-4,['race']
HADOOP-3395,Namenode.initialize() sets the default filesystem uri to an ip6 address (0:0:0:0:0:0:0:0),['node']
HADOOP-8734,LocalJobRunner does not support private distributed cache,['distributed']
HADOOP-6760,WebServer shouldn't increase port number in case of negative port setting caused by Jetty's race,['race']
HADOOP-9631,ViewFs should use underlying FileSystem's server side defaults,['server']
HADOOP-6554,DelegationTokenSecretManager lifecycle is inconsistent,['consistent']
HADOOP-8299,ViewFileSystem link slash mount point crashes with IndexOutOfBoundsException,['crash']
HADOOP-12474,MiniKMS should use random ports for Jetty server by default,['server']
HADOOP-12678,Handle empty rename pending metadata file during atomic rename in redo path,['meta']
HADOOP-4019,Hadoop 0.18.0 does not start on Mac OS X Leopard: NPE if no dfs.datanode.ipc.address value in the configuration,['node']
HADOOP-11955,Fix a typo in the cluster setup doc,['cluster']
HADOOP-10227,IPC shutdown hangs if remote connection not reachable,"['remote', 'connection']"
HADOOP-4264,DFSIO is failing on 500 nodes cluster,"['node', 'cluster']"
HADOOP-9633,"An incorrect data node might be added to the network topology, an exception is thrown though","['node', 'network']"
HADOOP-10869,JavaKeyStoreProvider backing jceks file may get corrupted,['corrupt']
HADOOP-6638,try to relogin in a case of  failed RPC connection (expired tgt) only in case the subject is loginUser or proxyUgi.realUser.,['connection']
HADOOP-6028,NPE server side when getting http://namenode/fileChecksum/* ,"['node', 'server']"
HADOOP-10069,Not need to start secondary namenode upon NN HA?,['node']
HADOOP-12765,HttpServer2 should switch to using the non-blocking SslSelectChannelConnector to prevent performance degradation when handling SSL connections,"['block', 'connection']"
HADOOP-6774,Namenode is not able to recover from disk full condition,['node']
HADOOP-9082,Simplify scripting usages so that parallel platform-dependent scripts are simple to maintain,['parallel']
HADOOP-5054,Chukwa database partitions does not create/expire automatically,['partition']
HADOOP-12124,Add HTrace support for FsShell,['race']
HADOOP-11912,Extra configuration key used in TraceUtils should respect prefix,['race']
HADOOP-8082,add hadoop-client and hadoop-minicluster to the dependency-management section,['cluster']
HADOOP-9782,Datanode daemon cannot be started on OS X,['node']
HADOOP-12171,Shorten overly-long htrace span names for server,"['race', 'server']"
HADOOP-12017,Hadoop archives command should use configurable replication factor when closing,['replica']
HADOOP-12780,During WASB atomic rename handle crash when one directory has been renamed but not file under it.,['crash']
HADOOP-5924,JT fails to recover the jobs after restart after HADOOP:4372,['restart']
HADOOP-5665,"Namenode could not be formatted because the ""whoami"" program could not be run. ",['node']
HADOOP-12447,Clean up some htrace integration issues,['race']
HADOOP-6710,Symbolic umask for file creation is not consistent with posix,['consistent']
HADOOP-1979,fsck on namenode without datanodes takes too much time,"['node', 'node']"
HADOOP-3371,MBeanUtil dumps stacktrace from registerMBean,['race']
HADOOP-6647,"balancer fails with ""is not authorized for protocol interface NamenodeProtocol"" in secure environment",['node']
