Issue_key,Summary,keyword
KAFKA-8341,AdminClient should retry coordinator lookup after NOT_COORDINATOR error,"['fail', 'fail']"
KAFKA-13018,test_multi_version failures,"['node', 'node', 'fail', 'fail']"
KAFKA-9727,Flaky system test StreamsEOSTest.test_failure_and_recovery,"['recovery', 'fail', 'lock', 'lock', 'lock']"
KAFKA-9247,ERROR - NoSuchMethodError: org.apache.zookeeper.ZooKeeper.multi,"['network', 'network', 'network', 'network', 'network', 'network', 'network', 'network', 'network', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'election', 'election', 'delay', 'delay', 'delay', 'delay', 'delay', 'delay', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'recovery', 'recovery', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-8679,kafka-topics.sh --describe with --zookeeper throws error when there is no topic,"['server', 'server', 'server']"
KAFKA-12786,Getting SslTransportLayerTest error ,"['network', 'network', 'network', 'network', 'network', 'client', 'fail', 'fail', 'fail']"
KAFKA-12626,RaftClusterTest and ClusterTestExtensionTest failures,"['cluster', 'fail', 'fail', 'meta']"
KAFKA-8044,System Test Failure: ReassignPartitionsTest.test_reassign_partitions,"['node', 'node', 'node', 'node', 'assign', 'assign', 'assign', 'assign', 'assign', 'client', 'client', 'partition', 'partition', 'partition', 'partition', 'race', 'assign', 'assign', 'assign', 'assign', 'assign']"
KAFKA-13728,PushHttpMetricsReporter no longer pushes metrics when network failure is recovered.,"['network', 'network', 'fail', 'fail']"
KAFKA-13539,Improve propagation and processing of SSL handshake failures,"['delay', 'client', 'connection', 'fail', 'fail', 'fail', 'fail', 'server']"
