Issue_key,keyword
HBASE-25583,"['crash', 'crash', 'crash', 'node', 'node', 'node', 'node', 'node', 'node', 'down', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer', 'peer', 'peer', 'peer']"
HBASE-25829,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-22881,"['sync', 'sync', 'sync']"
HBASE-22416,"['setup', 'connect', 'connect', 'connect']"
HBASE-23192,['crash']
HBASE-22510,"['master', 'master']"
HBASE-24074,"['master', 'master', 'master', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer', 'peer', 'peer']"
HBASE-23202,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'master', 'cluster']"
HBASE-23181,"['restart', 'cluster']"
HBASE-22206,"['down', 'down', 'down']"
HBASE-25077,"['master', 'master', 'master', 'setup']"
HBASE-27485,"['down', 'down', 'cluster']"
