Issue_key,keyword
CASSANDRA-13652,"['lock', 'lock', 'lock', 'lock', 'lock', 'race']"
CASSANDRA-17527,"['block', 'client', 'lock']"
CASSANDRA-16143,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'follower', 'follower', 'cluster', 'connection', 'connection', 'crash', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'race']"
CASSANDRA-17980,"['node', 'node', 'fail']"
CASSANDRA-15308,"['fail', 'fail']"
CASSANDRA-15266,"['replica', 'replica', 'message', 'message']"
CASSANDRA-17366,"['node', 'node', 'node', 'fail', 'parallel', 'parallel', 'parallel']"
CASSANDRA-16577,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'replica', 'replica']"
CASSANDRA-17623,"['election', 'client', 'fail']"
CASSANDRA-16518,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'client', 'crash', 'fail', 'fail', 'message', 'restart', 'restart']"
CASSANDRA-16450,['fail']
CASSANDRA-16807,"['replica', 'block', 'fail', 'lock', 'partition']"
CASSANDRA-17695,['fail']
CASSANDRA-14423,"['node', 'node', 'cluster', 'fail', 'meta', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'restart']"
CASSANDRA-16286,"['lock', 'lock']"
CASSANDRA-17140,"['election', 'fail', 'fail', 'message', 'message', 'message', 'message']"
CASSANDRA-16684,['race']
CASSANDRA-15981,"['crash', 'crash', 'crash', 'race']"
CASSANDRA-14773,"['crash', 'lock', 'lock', 'lock', 'lock', 'race', 'race']"
CASSANDRA-18125,"['node', 'node', 'node', 'node', 'cluster', 'cluster']"
CASSANDRA-13339,"['node', 'cluster', 'partition', 'partition']"
CASSANDRA-17581,"['node', 'node', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'fail', 'meta', 'meta', 'meta', 'meta', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
CASSANDRA-13929,"['node', 'cluster', 'restart']"
CASSANDRA-16307,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'partition', 'partition', 'partition']"
CASSANDRA-17650,"['fail', 'fail']"
CASSANDRA-16670,['cluster']
CASSANDRA-16659,"['cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
CASSANDRA-13747,"['node', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition']"
CASSANDRA-15172,"['node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'block', 'client', 'client', 'fail', 'lock', 'lock', 'server']"
CASSANDRA-16843,"['node', 'node']"
CASSANDRA-13400,"['cluster', 'cluster', 'replica', 'replica', 'fail', 'fail', 'fail', 'fail', 'fail', 'lock', 'message', 'server']"
CASSANDRA-15313,"['corrupt', 'corrupt', 'fail']"
CASSANDRA-17132,"['node', 'node']"
CASSANDRA-14013,"['replica', 'replica', 'restart', 'restart', 'restart', 'restart']"
